gen,fit,cross,rec,size,wires
198,-0.250000,31,2,9,38
199,-0.250000,31,2,9,38
200,-0.250000,31,2,9,38
201,-0.250000,31,2,9,38
202,-0.250000,31,2,9,38
203,-0.250000,31,2,9,38
204,-0.250000,31,2,9,38
205,-0.250000,31,2,9,38
206,-0.250000,31,2,9,38
207,-0.250000,31,2,9,38
208,-0.250000,31,2,9,38
209,-0.250000,31,2,9,38
210,-0.250000,31,2,9,38
211,-0.250000,31,2,9,38
212,-0.250000,31,2,9,38
213,-0.250000,31,2,9,38
214,-0.250000,31,2,9,38
215,-0.250000,31,2,9,38
216,-0.218750,37,3,9,44
217,-0.218750,37,3,9,44
218,-0.218750,37,3,9,44
219,-0.218750,37,3,9,44
220,-0.218750,37,3,9,44
221,-0.218750,37,3,9,44
222,-0.218750,37,3,9,44
223,-0.218750,37,3,9,44
224,-0.203125,39,3,9,48
225,-0.203125,39,3,9,48
226,-0.203125,39,3,9,48
227,-0.203125,39,3,9,48
228,-0.203125,39,3,9,48
229,-0.203125,39,3,9,48
230,-0.203125,39,3,9,48
231,-0.203125,39,3,9,48
232,-0.187500,39,3,9,45
233,-0.187500,39,3,9,45
234,-0.187500,39,3,9,45
235,-0.187500,39,3,9,45
236,-0.187500,39,3,9,45
237,-0.187500,39,3,9,45
238,-0.187500,39,3,9,45
239,-0.187500,39,3,9,45
240,-0.187500,39,3,9,45
241,-0.187500,39,3,9,45
242,-0.187500,39,3,9,45
243,-0.187500,39,3,9,45
244,-0.187500,39,3,9,45
245,-0.187500,39,3,9,45
246,-0.187500,39,3,9,45
247,-0.187500,39,3,9,45
248,-0.187500,39,3,9,45
249,-0.187500,39,3,9,45
250,-0.187500,39,3,9,45
251,-0.187500,39,3,9,45
252,-0.187500,39,3,9,45
253,-0.187500,39,3,9,45
254,-0.187500,39,3,9,45
255,-0.187500,39,3,9,45
256,-0.187500,39,3,9,45
257,-0.187500,39,3,9,45
258,-0.187500,39,3,9,45
259,-0.187500,39,3,9,45
260,-0.187500,39,3,9,45
261,-0.187500,39,3,9,45
262,-0.187500,39,3,9,45
263,-0.187500,39,3,9,45
264,-0.187500,39,3,9,45
265,-0.187500,39,3,9,45
266,-0.187500,39,3,9,45
267,-0.187500,39,3,9,45
268,-0.187500,39,3,9,45
269,-0.187500,39,3,9,45
270,-0.187500,39,3,9,45
271,-0.187500,39,3,9,45
272,-0.187500,39,3,9,45
273,-0.187500,39,3,9,45
274,-0.187500,39,3,9,45
275,-0.187500,39,3,9,45
276,-0.187500,39,3,9,45
277,-0.187500,39,3,9,45
278,-0.187500,39,3,9,45
279,-0.187500,39,3,9,45
280,-0.187500,39,3,9,45
281,-0.187500,39,3,9,45
282,-0.187500,39,3,9,45
283,-0.187500,39,3,9,45
284,-0.187500,39,3,9,45
285,-0.187500,39,3,9,45
286,-0.187500,39,3,9,45
287,-0.187500,39,3,9,45
288,-0.187500,39,3,9,45
289,-0.187500,39,3,9,45
290,-0.187500,39,3,9,45
291,-0.187500,39,3,9,45
292,-0.187500,39,3,9,45
293,-0.187500,39,3,9,45
294,-0.187500,39,3,9,45
295,-0.187500,39,3,9,45
296,-0.187500,39,3,9,45
297,-0.187500,39,3,9,45
298,-0.187500,39,3,9,45
299,-0.187500,39,3,9,45
300,-0.187500,39,3,9,45
301,-0.187500,39,3,9,45
302,-0.187500,39,3,9,45
303,-0.171875,40,5,9,49
304,-0.171875,40,5,9,49
305,-0.171875,40,5,9,49
306,-0.171875,40,5,9,49
307,-0.171875,40,5,9,49
308,-0.171875,40,5,9,49
309,-0.171875,40,5,9,49
310,-0.171875,40,5,9,49
311,-0.171875,40,5,9,49
312,-0.171875,40,5,9,49
313,-0.171875,40,5,9,49
314,-0.171875,40,5,9,49
315,-0.171875,40,5,9,49
316,-0.171875,40,5,9,49
317,-0.171875,40,5,9,49
318,-0.171875,40,5,9,49
319,-0.171875,40,5,9,49
320,-0.171875,40,5,9,49
321,-0.171875,40,5,9,49
322,-0.171875,40,5,9,49
323,-0.171875,40,5,9,49
324,-0.171875,40,5,9,49
325,-0.171875,40,5,9,49
326,-0.171875,40,5,9,49
327,-0.171875,40,5,9,49
328,-0.171875,40,5,9,49
329,-0.171875,40,5,9,49
330,-0.171875,40,5,9,49
331,-0.171875,40,5,9,49
332,-0.171875,40,5,9,49
333,-0.171875,40,5,9,49
334,-0.171875,40,5,9,49
335,-0.171875,40,5,9,49
336,-0.171875,40,5,9,49
337,-0.171875,40,5,9,49
338,-0.171875,40,5,9,49
339,-0.171875,40,5,9,49
340,-0.171875,40,5,9,49
341,-0.171875,40,5,9,49
