gen,fit,rec,size,wires
0,-0.500000,2,26,41
1,-0.500000,2,26,41
2,-0.500000,2,26,41
3,-0.500000,2,26,41
4,-0.500000,2,26,41
5,-0.500000,2,26,41
6,-0.500000,2,26,41
7,-0.500000,2,26,41
8,-0.500000,2,26,41
9,-0.500000,2,26,41
10,-0.500000,2,26,41
11,-0.500000,2,26,41
12,-0.500000,2,26,41
13,-0.500000,2,26,41
14,-0.500000,2,26,41
15,-0.500000,2,26,41
16,-0.500000,2,26,41
17,-0.437500,3,26,60
18,-0.437500,3,26,60
19,-0.437500,3,26,60
20,-0.437500,3,26,60
21,-0.437500,3,26,60
22,-0.437500,3,26,60
23,-0.437500,3,26,60
24,-0.437500,3,26,60
25,-0.375000,2,10,18
26,-0.375000,2,10,18
27,-0.375000,2,10,18
28,-0.375000,2,10,18
29,-0.375000,2,10,18
30,-0.312500,2,10,21
31,-0.312500,2,10,21
32,-0.250000,2,10,22
33,-0.250000,2,10,22
34,-0.250000,2,10,22
35,-0.187500,3,10,26
36,-0.187500,3,10,26
37,-0.125000,3,10,28
38,-0.125000,3,10,28
39,-0.125000,3,10,28
40,-0.125000,3,10,28
41,-0.125000,3,10,28
42,-0.125000,3,10,28
43,-0.125000,3,10,28
44,-0.125000,3,10,28
45,-0.125000,3,10,28
46,-0.125000,3,10,28
47,-0.125000,3,10,28
48,-0.125000,3,10,28
49,-0.125000,3,10,28
50,-0.125000,3,10,28
51,-0.125000,3,10,28
52,-0.125000,3,10,28
53,-0.125000,3,10,28
54,-0.125000,3,10,28
55,-0.125000,3,10,28
56,-0.125000,3,10,28
57,-0.125000,3,10,28
58,-0.125000,3,10,28
59,-0.125000,3,10,28
60,-0.125000,3,10,28
61,-0.125000,3,10,28
62,-0.125000,3,10,28
63,-0.125000,3,10,28
64,-0.125000,3,10,28
65,-0.125000,3,10,28
66,-0.125000,3,10,28
67,-0.125000,3,10,28
68,-0.125000,3,10,28
69,-0.125000,3,10,28
70,-0.125000,3,10,28
71,-0.125000,3,10,28
72,-0.125000,3,10,28
73,-0.125000,3,10,28
74,-0.125000,3,10,28
75,-0.125000,3,10,28
76,-0.125000,3,10,28
77,-0.125000,3,10,28
78,-0.125000,3,10,28
79,-0.125000,3,10,28
80,-0.125000,3,10,28
81,-0.125000,3,10,28
82,-0.125000,3,10,28
83,-0.125000,3,10,28
84,-0.125000,3,10,28
85,-0.125000,3,10,28
86,-0.125000,3,10,28
87,-0.125000,3,10,28
88,-0.125000,3,10,28
89,-0.125000,3,10,28
90,-0.125000,3,10,28
91,-0.125000,3,10,28
92,-0.125000,3,10,28
93,-0.125000,3,10,28
94,-0.125000,3,10,28
95,-0.125000,3,10,28
96,-0.125000,3,10,28
97,-0.062500,5,10,40
98,-0.062500,5,10,40
99,-0.000000,5,10,42
