gen,fit,rec,size,wires
227,-0.002154,10,26,144
228,-0.002154,10,26,144
229,-0.002154,10,26,144
230,-0.002154,10,26,144
231,-0.002154,10,26,144
232,-0.002154,10,26,144
233,-0.002154,10,26,144
234,-0.002154,10,26,144
235,-0.002154,10,26,144
236,-0.002154,10,26,144
237,-0.002154,10,26,144
238,-0.002154,10,26,144
239,-0.002154,10,26,144
240,-0.002154,10,26,144
241,-0.002154,10,26,144
242,-0.002154,10,26,144
243,-0.002154,10,26,144
244,-0.002154,10,26,144
245,-0.002154,10,26,144
246,-0.002154,10,26,144
247,-0.002154,10,26,144
248,-0.002154,10,26,144
249,-0.002154,10,26,144
250,-0.002154,10,26,144
251,-0.002154,10,26,144
252,-0.002154,10,26,144
253,-0.002154,10,26,144
254,-0.002154,10,26,144
255,-0.002154,10,26,144
256,-0.002154,10,26,144
257,-0.002154,10,26,144
258,-0.002154,10,26,144
259,-0.002154,10,26,144
260,-0.002154,10,26,144
261,-0.002154,10,26,144
262,-0.002154,10,26,144
263,-0.002154,10,26,144
264,-0.002154,10,26,144
265,-0.002154,10,26,144
266,-0.002154,10,26,144
267,-0.002154,10,26,144
268,-0.002154,10,26,144
269,-0.002154,10,26,144
270,-0.002154,10,26,144
271,-0.002154,10,26,144
272,-0.002154,10,26,144
273,-0.002154,10,26,144
274,-0.002154,10,26,144
275,-0.002154,10,26,144
276,-0.002154,10,26,144
277,-0.002154,10,26,144
278,-0.002154,10,26,144
279,-0.002154,10,26,144
280,-0.002154,10,26,144
281,-0.002144,8,26,153
282,-0.002144,8,26,153
283,-0.002144,8,26,153
284,-0.002144,8,26,153
285,-0.002144,8,26,153
286,-0.002144,8,26,153
287,-0.002144,8,26,153
288,-0.002144,8,26,153
289,-0.002144,8,26,153
290,-0.002144,8,26,153
291,-0.002144,8,26,153
292,-0.002144,8,26,153
293,-0.002144,8,26,153
294,-0.002144,8,26,153
295,-0.002144,8,26,153
296,-0.002144,8,26,153
297,-0.002144,8,26,153
298,-0.002144,8,26,153
299,-0.002144,8,26,153
300,-0.002144,8,26,153
301,-0.002144,8,26,153
302,-0.002144,8,26,153
303,-0.002144,8,26,153
304,-0.002144,8,26,153
305,-0.002144,8,26,153
306,-0.002144,8,26,153
307,-0.002144,8,26,153
308,-0.002144,8,26,153
309,-0.002144,8,26,153
310,-0.002144,8,26,153
311,-0.002144,8,26,153
312,-0.002144,8,26,153
313,-0.002144,8,26,153
314,-0.002144,8,26,153
315,-0.002144,8,26,153
316,-0.002144,8,26,153
317,-0.002144,8,26,153
318,-0.002144,8,26,153
319,-0.002144,8,26,153
320,-0.002144,8,26,153
321,-0.002144,8,26,153
322,-0.002144,8,26,153
323,-0.002144,8,26,153
324,-0.002144,8,26,153
325,-0.002144,8,26,153
326,-0.002144,8,26,153
327,-0.002144,8,26,153
328,-0.002144,8,26,153
329,-0.002144,8,26,153
330,-0.002144,8,26,153
331,-0.002144,8,26,153
332,-0.002144,8,26,153
333,-0.002144,8,26,153
334,-0.002144,8,26,153
335,-0.002144,8,26,153
336,-0.002144,8,26,153
337,-0.002144,8,26,153
338,-0.002144,8,26,153
339,-0.002144,8,26,153
340,-0.002144,8,26,153
341,-0.002144,8,26,153
342,-0.002144,8,26,153
343,-0.002144,8,26,153
344,-0.002144,8,26,153
345,-0.002144,8,26,153
346,-0.002144,8,26,153
347,-0.002144,8,26,153
348,-0.002144,8,26,153
349,-0.002144,8,26,153
350,-0.002144,8,26,153
351,-0.002144,8,26,153
352,-0.002144,8,26,153
353,-0.002144,8,26,153
354,-0.002144,8,26,153
355,-0.002144,8,26,153
