gen,fit,cross,rec,size,wires
0,-0.053426,30,0,26,40
1,-0.053426,30,0,26,40
2,-0.030081,34,1,26,44
3,-0.030081,34,1,26,44
4,-0.029897,35,1,26,48
5,-0.029394,34,0,26,45
6,-0.029394,34,0,26,45
7,-0.029394,34,0,26,45
8,-0.029273,33,1,26,44
9,-0.028997,39,0,26,50
10,-0.028997,39,0,26,50
11,-0.028351,34,1,26,44
12,-0.028351,34,1,26,44
13,-0.028351,34,1,26,44
14,-0.028197,41,0,26,48
15,-0.028197,41,0,26,48
16,-0.028162,36,1,26,46
17,-0.028162,36,1,26,46
18,-0.027947,42,0,26,49
19,-0.027947,42,0,26,49
20,-0.027936,38,1,26,48
21,-0.027936,38,1,26,48
22,-0.027936,38,1,26,48
23,-0.027936,38,1,26,48
24,-0.027936,38,1,26,48
25,-0.027803,41,2,26,51
26,-0.027803,41,2,26,51
27,-0.027803,41,2,26,51
28,-0.027803,41,2,26,51
29,-0.027803,41,2,26,51
30,-0.027696,43,1,26,54
31,-0.027696,43,1,26,54
32,-0.027696,43,1,26,54
33,-0.027696,43,1,26,54
34,-0.027642,45,1,26,57
35,-0.027642,45,1,26,57
36,-0.027642,45,1,26,57
37,-0.027642,45,1,26,57
38,-0.026987,44,1,26,56
39,-0.026987,44,1,26,56
40,-0.026987,44,1,26,56
41,-0.026987,44,1,26,56
42,-0.026936,45,2,26,56
43,-0.026591,44,2,26,55
44,-0.026591,44,2,26,55
45,-0.026591,44,2,26,55
46,-0.026559,43,2,26,57
47,-0.026559,43,2,26,57
48,-0.026559,43,2,26,57
49,-0.026559,43,2,26,57
50,-0.026559,43,2,26,57
51,-0.026559,43,2,26,57
52,-0.026559,43,2,26,57
53,-0.026559,43,2,26,57
54,-0.026544,43,4,26,60
55,-0.026544,43,4,26,60
56,-0.026544,43,4,26,60
57,-0.026544,43,4,26,60
58,-0.026274,52,6,26,73
59,-0.026274,52,6,26,73
60,-0.025725,50,3,26,69
61,-0.025725,50,3,26,69
62,-0.025725,50,3,26,69
63,-0.025725,50,3,26,69
64,-0.025508,54,2,26,73
65,-0.025420,52,3,26,71
66,-0.024697,53,3,26,72
67,-0.024697,53,3,26,72
68,-0.024545,56,3,26,76
69,-0.024450,55,4,26,75
70,-0.024450,55,4,26,75
71,-0.023938,56,3,26,75
72,-0.022854,58,3,26,78
73,-0.022854,58,3,26,78
74,-0.022854,58,3,26,78
75,-0.022637,57,3,26,77
76,-0.022505,60,2,26,81
77,-0.022505,60,2,26,81
78,-0.022166,61,3,26,80
79,-0.022166,61,3,26,80
80,-0.021780,64,3,26,83
81,-0.021780,64,3,26,83
82,-0.021780,64,3,26,83
83,-0.021780,64,3,26,83
84,-0.021780,64,3,26,83
85,-0.021780,64,3,26,83
86,-0.021690,69,3,26,88
87,-0.021690,69,3,26,88
88,-0.021690,69,3,26,88
89,-0.021690,69,3,26,88
90,-0.021690,69,3,26,88
91,-0.021690,69,3,26,88
92,-0.021690,69,3,26,88
93,-0.021690,69,3,26,88
94,-0.021690,69,3,26,88
95,-0.021690,69,3,26,88
96,-0.021690,69,3,26,88
97,-0.021690,69,3,26,88
98,-0.021690,69,3,26,88
99,-0.021690,69,3,26,88
100,-0.021690,69,3,26,88
101,-0.021690,69,3,26,88
102,-0.021690,69,3,26,88
103,-0.021690,69,3,26,88
104,-0.021690,69,3,26,88
105,-0.021690,69,3,26,88
106,-0.021690,69,3,26,88
107,-0.021690,69,3,26,88
108,-0.021690,69,3,26,88
109,-0.021690,69,3,26,88
110,-0.021690,69,3,26,88
111,-0.017740,86,3,27,112
112,-0.017740,86,3,27,112
113,-0.017740,86,3,27,112
114,-0.017740,86,3,27,112
115,-0.017251,86,3,27,113
116,-0.016951,86,3,27,111
117,-0.016951,86,3,27,111
118,-0.016849,86,3,27,112
119,-0.016849,86,3,27,112
120,-0.016790,86,3,27,113
121,-0.016790,86,3,27,113
122,-0.016790,86,3,27,113
123,-0.016790,86,3,27,113
