gen,fit,rec,size,wires
0,-0.044691,2,26,33
1,-0.044691,2,26,33
2,-0.044691,2,26,33
3,-0.043737,4,26,38
4,-0.030627,4,26,38
5,-0.030352,4,26,39
6,-0.030352,4,26,39
7,-0.029119,5,26,41
8,-0.028951,4,26,40
9,-0.027408,6,26,44
10,-0.027322,4,26,40
11,-0.027169,7,26,44
12,-0.027083,4,26,39
13,-0.027083,4,26,39
14,-0.027042,4,26,48
15,-0.027042,4,26,48
16,-0.025926,6,26,41
17,-0.025926,6,26,41
18,-0.025844,5,26,50
19,-0.025220,6,26,41
20,-0.025056,6,26,47
21,-0.023829,6,26,48
22,-0.023829,6,26,48
23,-0.023507,6,26,46
24,-0.022640,4,15,32
25,-0.022629,6,16,31
26,-0.022337,4,15,31
27,-0.021180,4,15,34
28,-0.021180,4,15,34
29,-0.020062,4,15,36
30,-0.019076,4,15,34
31,-0.019076,4,15,34
32,-0.019076,4,15,34
33,-0.018995,4,15,35
34,-0.018995,4,15,35
35,-0.018265,4,15,39
36,-0.018265,4,15,39
37,-0.018265,4,15,39
38,-0.018211,4,15,42
39,-0.018211,4,15,42
40,-0.018211,4,15,42
41,-0.016914,5,15,38
42,-0.016914,5,15,38
43,-0.016914,5,15,38
44,-0.016914,5,15,38
45,-0.016914,5,15,38
46,-0.016914,5,15,38
47,-0.016914,5,15,38
48,-0.016914,5,15,38
49,-0.016914,5,15,38
50,-0.016914,5,15,38
51,-0.016914,5,15,38
52,-0.016914,5,15,38
53,-0.016914,5,15,38
54,-0.016914,5,15,38
55,-0.016914,5,15,38
56,-0.016893,7,15,51
57,-0.016893,7,15,51
58,-0.016893,7,15,51
59,-0.016893,7,15,51
60,-0.016893,7,15,51
61,-0.016893,7,15,51
62,-0.016893,7,15,51
63,-0.016893,7,15,51
64,-0.016655,7,15,59
65,-0.016655,7,15,59
66,-0.016655,7,15,59
67,-0.016655,7,15,59
68,-0.016655,7,15,59
69,-0.016655,7,15,59
70,-0.016644,7,15,59
71,-0.016644,7,15,59
72,-0.016644,7,15,59
73,-0.016644,7,15,59
74,-0.016644,7,15,59
75,-0.016644,7,15,59
76,-0.016644,7,15,59
77,-0.016644,7,15,59
78,-0.016644,7,15,59
79,-0.016644,7,15,59
80,-0.016644,7,15,59
81,-0.016644,7,15,59
82,-0.016644,7,15,59
83,-0.016644,7,15,59
84,-0.016644,7,15,59
85,-0.014222,8,15,63
86,-0.014222,8,15,63
87,-0.014222,8,15,63
88,-0.014222,8,15,63
89,-0.014222,8,15,63
90,-0.014222,8,15,63
91,-0.014199,8,15,63
92,-0.014199,8,15,63
93,-0.014199,8,15,63
94,-0.014199,8,15,63
95,-0.014199,8,15,63
96,-0.014199,8,15,63
97,-0.014199,8,15,63
98,-0.014159,8,15,68
99,-0.014135,8,15,67
100,-0.014135,8,15,67
101,-0.014135,8,15,67
102,-0.014135,8,15,67
103,-0.014028,8,15,65
104,-0.014028,8,15,65
105,-0.014028,8,15,65
106,-0.014028,8,15,65
107,-0.014028,8,15,65
108,-0.014028,8,15,65
109,-0.013987,7,15,68
110,-0.013987,7,15,68
111,-0.013987,7,15,68
112,-0.013987,7,15,68
113,-0.013929,8,15,67
114,-0.013929,8,15,67
115,-0.013929,8,15,67
116,-0.013866,8,15,74
117,-0.013866,8,15,74
118,-0.013866,8,15,74
119,-0.013866,8,15,74
120,-0.013866,8,15,74
121,-0.013866,8,15,74
122,-0.013866,8,15,74
123,-0.013789,8,15,73
124,-0.013789,8,15,73
125,-0.013246,8,15,77
126,-0.013246,8,15,77
127,-0.013246,8,15,77
128,-0.013246,8,15,77
129,-0.013246,8,15,77
130,-0.013246,8,15,77
131,-0.013246,8,15,77
132,-0.013246,8,15,77
133,-0.013246,8,15,77
134,-0.013208,8,15,81
135,-0.013208,8,15,81
136,-0.013208,8,15,81
137,-0.013208,8,15,81
138,-0.013208,8,15,81
139,-0.013208,8,15,81
140,-0.013208,8,15,81
141,-0.013208,8,15,81
142,-0.013208,8,15,81
143,-0.013208,8,15,81
144,-0.013208,8,15,81
145,-0.013208,8,15,81
146,-0.013208,8,15,81
147,-0.013208,8,15,81
148,-0.013208,8,15,81
149,-0.013208,8,15,81
150,-0.013208,8,15,81
151,-0.013208,8,15,81
152,-0.013208,8,15,81
153,-0.013186,8,15,80
154,-0.013186,8,15,80
155,-0.012690,9,15,84
156,-0.012690,9,15,84
157,-0.011705,9,15,85
158,-0.011705,9,15,85
159,-0.011691,8,15,84
160,-0.011691,8,15,84
161,-0.011691,8,15,84
162,-0.011691,8,15,84
163,-0.009014,9,15,85
164,-0.009014,9,15,85
165,-0.008015,9,15,86
166,-0.008015,9,15,86
167,-0.008015,9,15,86
168,-0.008015,9,15,86
169,-0.008015,9,15,86
170,-0.008015,9,15,86
171,-0.008015,9,15,86
172,-0.008015,9,15,86
173,-0.007817,8,15,85
174,-0.007817,8,15,85
175,-0.007817,8,15,85
176,-0.007804,9,15,89
177,-0.007804,9,15,89
178,-0.007804,9,15,89
179,-0.007804,9,15,89
180,-0.007804,9,15,89
181,-0.007778,9,15,93
182,-0.007778,9,15,93
183,-0.007778,9,15,93
184,-0.007778,9,15,93
185,-0.007778,9,15,93
186,-0.007778,9,15,93
187,-0.007778,9,15,93
188,-0.006953,9,15,87
189,-0.006953,9,15,87
190,-0.006953,9,15,87
191,-0.006932,9,15,89
192,-0.005953,9,15,88
193,-0.005953,9,15,88
194,-0.005953,9,15,88
195,-0.005953,9,15,88
196,-0.005953,9,15,88
197,-0.005859,9,15,89
198,-0.005859,9,15,89
199,-0.005859,9,15,89
200,-0.005786,9,15,89
201,-0.005493,9,15,91
202,-0.005080,9,16,91
