gen,fit,cross,rec,size,wires
0,-0.500000,18,1,19,30
1,-0.500000,18,1,19,30
2,-0.500000,18,1,19,30
3,-0.500000,18,1,19,30
4,-0.500000,18,1,19,30
5,-0.500000,18,1,19,30
6,-0.437500,25,0,19,33
7,-0.437500,25,0,19,33
8,-0.437500,25,0,19,33
9,-0.437500,25,0,19,33
10,-0.437500,25,0,19,33
11,-0.437500,25,0,19,33
12,-0.437500,25,0,19,33
13,-0.375000,27,0,19,39
14,-0.375000,27,0,19,39
15,-0.375000,27,0,19,39
16,-0.375000,27,0,19,39
17,-0.375000,27,0,19,39
18,-0.375000,27,0,19,39
19,-0.375000,27,0,19,39
20,-0.375000,27,0,19,39
21,-0.375000,27,0,19,39
22,-0.375000,27,0,19,39
23,-0.375000,27,0,19,39
24,-0.375000,27,0,19,39
25,-0.375000,27,0,19,39
26,-0.375000,27,0,19,39
27,-0.375000,27,0,19,39
28,-0.375000,27,0,19,39
29,-0.375000,27,0,19,39
30,-0.375000,27,0,19,39
31,-0.375000,27,0,19,39
32,-0.375000,27,0,19,39
33,-0.312500,40,3,19,55
34,-0.250000,40,3,19,56
35,-0.250000,40,3,19,56
36,-0.250000,40,3,19,56
37,-0.250000,40,3,19,56
38,-0.250000,40,3,19,56
39,-0.250000,40,3,19,56
40,-0.250000,40,3,19,56
41,-0.250000,40,3,19,56
42,-0.250000,40,3,19,56
43,-0.250000,40,3,19,56
44,-0.250000,40,3,19,56
45,-0.250000,40,3,19,56
46,-0.250000,40,3,19,56
47,-0.250000,40,3,19,56
48,-0.250000,40,3,19,56
49,-0.250000,40,3,19,56
50,-0.250000,40,3,19,56
51,-0.250000,40,3,19,56
52,-0.250000,40,3,19,56
53,-0.250000,40,3,19,56
54,-0.250000,40,3,19,56
55,-0.250000,40,3,19,56
56,-0.250000,40,3,19,56
57,-0.250000,40,3,19,56
58,-0.187500,48,2,19,66
59,-0.187500,48,2,19,66
60,-0.187500,48,2,19,66
61,-0.187500,48,2,19,66
62,-0.187500,48,2,19,66
63,-0.187500,48,2,19,66
64,-0.187500,48,2,19,66
65,-0.187500,48,2,19,66
66,-0.187500,48,2,19,66
67,-0.187500,48,2,19,66
68,-0.187500,48,2,19,66
69,-0.187500,48,2,19,66
70,-0.187500,48,2,19,66
71,-0.187500,48,2,19,66
72,-0.187500,48,2,19,66
73,-0.187500,48,2,19,66
74,-0.187500,48,2,19,66
75,-0.187500,48,2,19,66
76,-0.187500,48,2,19,66
77,-0.187500,48,2,19,66
78,-0.187500,48,2,19,66
79,-0.187500,48,2,19,66
80,-0.187500,48,2,19,66
81,-0.187500,48,2,19,66
82,-0.187500,48,2,19,66
83,-0.187500,48,2,19,66
84,-0.187500,48,2,19,66
85,-0.125000,58,6,19,80
86,-0.125000,58,6,19,80
87,-0.125000,58,6,19,80
88,-0.125000,58,6,19,80
89,-0.125000,58,6,19,80
90,-0.062500,56,6,19,79
91,-0.062500,56,6,19,79
92,-0.062500,56,6,19,79
93,-0.062500,56,6,19,79
94,-0.062500,56,6,19,79
95,-0.062500,56,6,19,79
96,-0.062500,56,6,19,79
97,-0.062500,56,6,19,79
98,-0.062500,56,6,19,79
99,-0.062500,56,6,19,79
100,-0.062500,56,6,19,79
101,-0.062500,56,6,19,79
102,-0.062500,56,6,19,79
103,-0.062500,56,6,19,79
104,-0.062500,56,6,19,79
105,-0.062500,56,6,19,79
106,-0.062500,56,6,19,79
107,-0.062500,56,6,19,79
108,-0.062500,56,6,19,79
109,-0.062500,56,6,19,79
110,-0.062500,56,6,19,79
111,-0.062500,56,6,19,79
112,-0.062500,56,6,19,79
113,-0.062500,56,6,19,79
114,-0.062500,56,6,19,79
115,-0.062500,56,6,19,79
116,-0.062500,56,6,19,79
117,-0.062500,56,6,19,79
118,-0.000000,68,5,19,93
