gen,fit,rec,size,wires
0,-0.312500,1,26,36
1,-0.312500,1,26,36
2,-0.187500,0,26,34
3,-0.187500,0,26,34
4,-0.187500,0,26,34
5,-0.187500,0,26,34
6,-0.125000,0,26,40
7,-0.125000,0,26,40
8,-0.125000,0,26,40
9,-0.125000,0,26,40
10,-0.125000,0,26,40
11,-0.062500,1,26,43
12,-0.062500,1,26,43
13,-0.062500,1,26,43
14,-0.062500,1,26,43
15,-0.062500,1,26,43
16,-0.062500,1,26,43
17,-0.062500,1,26,43
18,-0.062500,1,26,43
19,-0.062500,1,26,43
20,-0.062500,1,26,43
21,-0.062500,1,26,43
22,-0.062500,1,26,43
23,-0.062500,1,26,43
24,-0.062500,1,26,43
25,-0.062500,1,26,43
26,-0.062500,1,26,43
27,-0.062500,1,26,43
28,-0.062500,1,26,43
29,-0.062500,1,26,43
30,-0.062500,1,26,43
31,-0.062500,1,26,43
32,-0.062500,1,26,43
33,-0.062500,1,26,43
34,-0.062500,1,26,43
35,-0.062500,1,26,43
36,-0.062500,1,26,43
37,-0.062500,1,26,43
38,-0.062500,1,26,43
39,-0.062500,1,26,43
40,-0.062500,1,26,43
41,-0.062500,1,26,43
42,-0.062500,1,26,43
43,-0.062500,1,26,43
44,-0.062500,1,26,43
45,-0.062500,1,26,43
46,-0.062500,1,26,43
47,-0.062500,1,26,43
48,-0.062500,1,26,43
49,-0.062500,1,26,43
50,-0.062500,1,26,43
51,-0.062500,1,26,43
52,-0.062500,1,26,43
53,-0.062500,1,26,43
54,-0.062500,1,26,43
55,-0.062500,1,26,43
56,-0.062500,1,26,43
57,-0.062500,1,26,43
58,-0.062500,1,26,43
59,-0.062500,1,26,43
60,-0.062500,1,26,43
61,-0.062500,1,26,43
62,-0.062500,1,26,43
63,-0.062500,1,26,43
64,-0.062500,1,26,43
65,-0.062500,1,26,43
66,-0.062500,1,26,43
67,-0.062500,1,26,43
68,-0.062500,1,26,43
69,-0.062500,1,26,43
70,-0.062500,1,26,43
71,-0.062500,1,26,43
72,-0.062500,1,26,43
73,-0.062500,1,26,43
74,-0.062500,1,26,43
75,-0.062500,1,26,43
76,-0.062500,1,26,43
77,-0.062500,1,26,43
78,-0.062500,1,26,43
79,-0.062500,1,26,43
80,-0.062500,1,26,43
81,-0.062500,1,26,43
82,-0.062500,1,26,43
83,-0.062500,1,26,43
84,-0.062500,1,26,43
85,-0.062500,1,26,43
86,-0.062500,1,26,43
87,-0.062500,1,26,43
88,-0.062500,1,26,43
89,-0.062500,1,26,43
90,-0.062500,1,26,43
91,-0.062500,1,26,43
92,-0.062500,1,26,43
93,-0.062500,1,26,43
94,-0.062500,1,26,43
95,-0.062500,1,26,43
96,-0.062500,1,26,43
97,-0.062500,1,26,43
98,-0.062500,1,26,43
99,-0.062500,1,26,43
100,-0.062500,1,26,43
101,-0.062500,1,26,43
102,-0.062500,1,26,43
103,-0.062500,1,26,43
104,-0.062500,1,26,43
105,-0.062500,1,26,43
106,-0.062500,1,26,43
107,-0.062500,1,26,43
108,-0.062500,1,26,43
109,-0.062500,1,26,43
110,-0.062500,1,26,43
111,-0.062500,1,26,43
112,-0.062500,1,26,43
113,-0.031250,5,26,98
114,-0.031250,5,26,98
115,-0.031250,5,26,98
116,-0.031250,5,26,98
117,-0.031250,5,26,98
118,-0.031250,5,26,98
119,-0.031250,5,26,98
120,-0.031250,5,26,98
121,-0.031250,5,26,98
122,-0.031250,5,26,98
123,-0.031250,5,26,98
124,-0.031250,5,26,98
125,-0.031250,5,26,98
126,-0.031250,5,26,98
127,-0.031250,5,26,98
128,-0.031250,5,26,98
129,-0.031250,5,26,98
130,-0.031250,5,26,98
131,-0.031250,5,26,98
132,-0.031250,5,26,98
133,-0.031250,5,26,98
134,-0.031250,5,26,98
135,-0.031250,5,26,98
136,-0.031250,5,26,98
137,-0.031250,5,26,98
138,-0.031250,5,26,98
139,-0.031250,5,26,98
140,-0.031250,5,26,98
141,-0.031250,5,26,98
142,-0.031250,5,26,98
143,-0.031250,5,26,98
144,-0.031250,5,26,98
145,-0.031250,5,26,98
146,-0.031250,5,26,98
147,-0.031250,5,26,98
148,-0.031250,5,26,98
149,-0.031250,5,26,98
150,-0.031250,5,26,98
151,-0.031250,5,26,98
152,-0.031250,5,26,98
153,-0.031250,5,26,98
154,-0.031250,5,26,98
155,-0.031250,5,26,98
156,-0.031250,5,26,98
157,-0.031250,5,26,98
158,-0.031250,5,26,98
159,-0.031250,5,26,98
160,-0.031250,5,26,98
161,-0.031250,5,26,98
162,-0.031250,5,26,98
163,-0.031250,5,26,98
164,-0.031250,5,26,98
165,-0.031250,5,26,98
166,-0.031250,5,26,98
167,-0.031250,5,26,98
168,-0.031250,5,26,98
169,-0.031250,5,26,98
170,-0.031250,5,26,98
171,-0.031250,5,26,98
172,-0.031250,5,26,98
173,-0.031250,5,26,98
174,-0.031250,5,26,98
175,-0.031250,5,26,98
176,-0.031250,5,26,98
177,-0.031250,5,26,98
178,-0.031250,5,26,98
179,-0.031250,5,26,98
180,-0.031250,5,26,98
181,-0.031250,5,26,98
182,-0.031250,5,26,98
183,-0.031250,5,26,98
184,-0.031250,5,26,98
185,-0.031250,5,26,98
186,-0.031250,5,26,98
187,-0.031250,5,26,98
