gen,fit,rec,size,wires
0,-0.250000,0,26,35
1,-0.250000,0,26,35
2,-0.250000,0,26,35
3,-0.250000,0,26,35
4,-0.250000,0,26,35
5,-0.250000,0,26,35
6,-0.250000,0,26,35
7,-0.250000,0,26,35
8,-0.250000,0,26,35
9,-0.250000,0,26,35
10,-0.250000,0,26,35
11,-0.250000,0,26,35
12,-0.250000,0,26,35
13,-0.250000,0,26,35
14,-0.250000,0,26,35
15,-0.250000,0,26,35
16,-0.250000,0,26,35
17,-0.250000,0,26,35
18,-0.250000,0,26,35
19,-0.250000,0,26,35
20,-0.250000,0,26,35
21,-0.250000,0,26,35
22,-0.250000,0,26,35
23,-0.250000,0,26,35
24,-0.250000,0,26,35
25,-0.250000,0,26,35
26,-0.250000,0,26,35
27,-0.250000,0,26,35
28,-0.250000,0,26,35
29,-0.250000,0,26,35
30,-0.250000,0,26,35
31,-0.250000,0,26,35
32,-0.250000,0,26,35
33,-0.250000,0,26,35
34,-0.250000,0,26,35
35,-0.250000,0,26,35
36,-0.250000,0,26,35
37,-0.250000,0,26,35
38,-0.250000,0,26,35
39,-0.250000,0,26,35
40,-0.250000,0,26,35
41,-0.250000,0,26,35
42,-0.250000,0,26,35
43,-0.000000,1,8,17
